,0,1
0,VDGV,1.0
1,ADGV,0.0619096557142
2,CDGV,0.24223727788600002
3,DDGV,0.00647208961971
4,EDGV,0.0327191845926
5,FDGV,0.37710072842500003
6,GDGV,0.008297905735679999
7,HDGV,0.0264798489707
8,IDGV,1.4459050863
9,KDGV,0.0201606557734
10,LDGV,1.69016355375
11,MDGV,1.17054988281
12,NDGV,0.0116278958495
13,PDGV,0.00894644046029
14,QDGV,0.102672417647
15,RDGV,0.0172018642765
16,SDGV,0.034312108736099994
17,TDGV,0.246551701455
18,VAGV,2.40124349574
19,VCGV,1.83818718188
20,VDAV,0.12057612672599999
21,VDCV,0.0607126195004
22,VDDV,0.005953787189710001
23,VDEV,0.00643456626514
24,VDFV,0.0670220937213
25,VDGA,1.3729493333899998
26,VDGC,1.4139359064700001
27,VDGD,0.0315419914958
28,VDGE,0.0353071305266
29,VDGF,0.8207881939049999
30,VDGG,0.265820485664
31,VDGH,0.16183995636499998
32,VDGI,0.377105030763
33,VDGK,0.007655337403
34,VDGL,0.380472898221
35,VDGM,0.5856488537269999
36,VDGN,0.225092059946
37,VDGP,0.00755619465913
38,VDGQ,0.124301623761
39,VDGR,0.00616756669599
40,VDGS,0.49575985154200003
41,VDGT,0.615188984875
42,VDGW,0.6999954290379999
43,VDGY,0.028526257933900002
44,VDHV,0.0043470085561999995
45,VDIV,0.0034240553966799997
46,VDKV,0.00407538712684
47,VDLV,0.00977006063242
48,VDMV,0.0131103160049
49,VDNV,0.0057462076598
50,VDPV,0.00490471616607
51,VDQV,0.00417937533459
52,VDRV,0.00435243639048
53,VDSV,0.0138843009535
54,VDTV,0.00410704837872
55,VDVV,0.0159886265123
56,VDWV,0.00752123766976
57,VDYV,0.0137144740659
58,VEGV,0.8609306635299998
59,VFGV,3.05454865106
60,VGGV,0.8640258480609999
61,VHGV,3.0811658076499997
62,VIGV,1.79171333093
63,VKGV,1.13788477532
64,VLGV,0.907305261163
65,VMGV,1.09352879961
66,VNGV,1.80292279874
67,VPGV,0.402165979344
68,VQGV,1.11389363844
69,VRGV,1.6454716489399999
70,VSGV,2.16359335977
71,VTGV,1.16546536279
72,VVGV,1.9476678680300001
73,VWGV,3.9014607560800005
74,VYGV,3.8914610906699996
75,WDGV,0.010396949158399999
76,YDGV,0.07202251319019999
77,AAGV,0.274083334811
78,ACGV,0.24916666800999998
79,ADDV,0.0
80,ADFV,0.109633333924
81,ADGA,0.120596667317
82,ADGC,0.35630833525399996
83,ADGE,0.0171302084257
84,ADGF,0.386941178557
85,ADGG,0.022840277900900003
86,ADGH,0.0328900001773
87,ADGL,0.114201389505
88,ADGM,0.25124305691
89,ADGN,0.0
90,ADGP,0.00622916670025
91,ADGQ,0.0
92,ADGR,0.0
93,ADGS,0.0401097563138
94,ADGT,0.0243629630943
95,ADGY,0.0
96,ADLV,0.0
97,ADNV,0.027408333481099997
98,ADPV,0.0
99,ADRV,0.0
100,ADVV,0.0
101,AEGV,0.0161225491065
102,AFGV,0.982388582076
103,AGGV,0.042166666894
104,AHGV,0.6003730191100001
105,AIGV,0.141878432138
106,AKGV,0.103226191033
107,ALGV,0.0685208337028
108,AMGV,0.0875543986202
109,ANGV,0.20000675783500002
110,APGV,0.00945114947625
111,AQGV,0.0522063494878
112,ARGV,0.165200914133
113,ASGV,0.21083333447
114,ATGV,0.0761342596698
115,AVGV,0.141072304682
116,AWGV,0.657800003547
117,AYGV,1.70408334252
118,CAGV,1.2494249316600001
119,CCGV,0.5856808690799999
120,CDAV,0.0230885417912
121,CDCV,0.0168493853367
122,CDDV,0.0036544444641500003
123,CDEV,0.014128006949
124,CDFV,0.22974632476799997
125,CDGA,0.19776671763300002
126,CDGC,0.574303482478
127,CDGE,0.0116777360696
128,CDGF,0.42570390300399996
129,CDGG,0.0298897463889
130,CDGH,0.0284078696349
131,CDGI,0.12069724835699999
132,CDGK,0.132341029737
133,CDGL,0.198017052159
134,CDGM,0.60859929801
135,CDGN,0.05977687580569999
136,CDGP,0.00835455592836
137,CDGQ,0.032518361757299996
138,CDGR,0.00626009602846
139,CDGS,0.11233687702299999
140,CDGT,0.161808233804
141,CDGW,0.236904838291
142,CDGY,0.055907545906699996
143,CDHV,0.0016814928516
144,CDIV,0.0123879473361
145,CDKV,0.00206077695347
146,CDLV,0.035487373928699995
147,CDMV,0.021529204547099997
148,CDNV,0.0014128006949000003
149,CDPV,0.00587321431738
150,CDQV,0.0038877068767499997
151,CDRV,0.00540680326638
152,CDSV,0.007236523691380001
153,CDTV,0.00312642587237
154,CDVV,0.0145186262626
155,CDWV,0.00386032865931
156,CDYV,0.011663120630299999
157,CEGV,0.17211780846799998
158,CFGV,2.9257530725
159,CGGV,0.163337485506
160,CHGV,2.1520900953999997
161,CIGV,1.1724109935200002
162,CKGV,0.5045417388310001
163,CLGV,0.319605527514
164,CMGV,0.36663759526
165,CNGV,0.6638469260409999
166,CPGV,0.0660736610705
167,CQGV,0.401353335497
168,CRGV,0.73881540853
169,CSGV,1.00204197435
170,CTGV,0.47980937012900005
171,CVGV,1.30463211325
172,CWGV,2.46026283378
173,CYGV,4.0731256485300005
174,DAGV,0.0391547621159
175,DCGV,0.06491447403419999
176,DDAV,0.0
177,DDCV,0.0
178,DDDV,0.0
179,DDEV,0.0
180,DDFV,0.0124583334005
181,DDGA,0.010027439078499999
182,DDGC,0.0161225491065
183,DDGE,0.010963333392399998
184,DDGF,0.0
185,DDGG,0.0
186,DDGH,0.019577381057900002
187,DDGI,0.021083333447
188,DDGK,0.0
189,DDGL,0.0486690033777
190,DDGM,0.11991145898
191,DDGN,0.0
192,DDGP,0.0
193,DDGQ,0.0074076576976
194,DDGR,0.0
195,DDGS,0.00934375005038
196,DDGT,0.0036544444641500003
197,DDGW,0.0105416667235
198,DDGY,0.0
199,DDHV,0.0
200,DDIV,0.0
201,DDKV,0.0
202,DDLV,0.005710069475229999
203,DDMV,0.0
204,DDNV,0.0
205,DDPV,0.0
206,DDRV,0.0
207,DDSV,0.0
208,DDTV,0.0
209,DDVV,0.0
210,DDWV,0.0
211,DDYV,0.0
212,DEGV,0.0132620968457
213,DFGV,0.05097506766030001
214,DGGV,0.0106785714861
215,DHGV,0.23753889016999996
216,DIGV,0.019577381057900002
217,DKGV,0.0204709544672
218,DLGV,0.010124450362399999
219,DMGV,0.008305555600339999
220,DNGV,0.021875195736099997
221,DPGV,0.00559353744512
222,DQGV,0.00856510421285
223,DRGV,0.032942708511
224,DSGV,0.0546250002945
225,DTGV,0.015226851934
226,DVGV,0.0446654323396
227,DWGV,0.0413710694055
228,DYGV,0.21614702013599998
